date_time,currency,Today Price,Forecasted Tomorrow Price,Price Score,Today Volume,Forecasted Tomorrow Volume,Volume Score,Today Market Cap,Forecasted Tomorrow Market Cap,Market Cap Score,Sentiment,Sentiment Score
2022-11-12 05:11:39,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 06:02:36,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 06:11:36,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 07:02:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 07:11:38,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 08:02:36,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 08:11:35,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 09:02:36,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 09:11:37,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 10:02:40,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 10:11:37,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 11:11:40,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 12:11:39,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 13:11:37,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 19:56:58,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 19:58:34,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 21:00:03,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 22:00:06,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-12 23:00:07,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-13 00:00:04,ETH_USD,1293.9115948871518,1287.1385185093932,0%,17355612789.319725,21811041536.361713,25.67%,155222424523.53937,154678205540.54834,0%,default,
2022-11-13 01:00:08,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 02:00:09,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 03:00:05,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 04:00:07,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 05:00:08,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 06:00:04,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
2022-11-13 07:00:09,ETH_USD,1255.6010507578435,1271.9310571993228,1.3%,8636739779.554464,16731431544.149769,93.72%,151059842003.22357,153164769335.9987,1.39%,default,
